TITLE,DOMAINE / FIELD,pISSN,eISSN,FNEGE_2019,FNEGE_2022,FNEGE_2025
JOURNAL OF MARKETING TRENDS,MKG,1961-7798,2114-8910,4,4,4
JOURNAL OF MEDIA ECONOMICS,SECTOR,0899-7764,1532-7736,,,4
JOURNAL OF MEDICAL INTERNET RESEARCH,HLTH,1438-8871,1439-4456,,,4
"JOURNAL OF MONEY, CREDIT AND BANKING",FIN,0022-2879,1538-4616,,1,1
JOURNAL OF MULTINATIONAL FINANCIAL MANAGEMENT,FIN,1042-444X,1873-1309,4,4,4
JOURNAL OF NON PROFIT AND PUBLIC SECTOR MARKETING,PUB MAN,1049-5142,1540-6997,,,4
JOURNAL OF NURSING MANAGEMENT,HLTH,0966-0429,1365-2834,4,4,4
JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,HRM,0963-1798,2044-8325,2,2,2
JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY,HRM,1076-8998,1939-1307,3,2,2
JOURNAL OF OPERATIONS MANAGEMENT,LOG,0272-6963,1873-1317,1,1*,1*
JOURNAL OF ORGANIZATION DESIGN,ORG STUD,2245-408X,2245-408X,,,4
JOURNAL OF ORGANIZATIONAL AND END USER COMPUTING,MIS,1546-2234,1546-5012,4,4,4
JOURNAL OF ORGANIZATIONAL BEHAVIOR,ORG STUD,0894-3796,1099-1379,1,1,1
JOURNAL OF ORGANIZATIONAL BEHAVIOR EDUCATION,EDUC,1649-7627,2047-9999,,,4
JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,ORG STUD,0160-8061,1540-8604,4,4,3
JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,ORG STUD,0953-4814,1758-7816,3,3,3
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,MIS,1091-9392,1532-7744,,,4
JOURNAL OF ORGANIZATIONAL EFFECTIVENESS,HRM,2051-6614,2051-6622,,,4
JOURNAL OF OUTDOOR RECREATION AND TOURISM,SECTOR,2213-0799,2213-0799,,,4
JOURNAL OF PENSION ECONOMICS AND FINANCE,FIN,1474-7472,1475-3022,4,4,4
JOURNAL OF PERSONAL SELLING AND SALES MANAGEMENT,MKG,0885-3134,1557-7813,3,3,3
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,MKG,0022-3514,1939-1315,,,2
JOURNAL OF PERSONNEL PSYCHOLOGY,HRM,1866-5888,2190-5150,,4,4
JOURNAL OF PHILANTHROPY,MKG,1465-4520,2691-1361,,,4
JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,PUB MAN,0276-8739,1520-6688,,,3
JOURNAL OF POLITICAL ECONOMY,GEN MAN,0022-3808,1537-534X,,1*,1*
JOURNAL OF PORTFOLIO MANAGEMENT,FIN,0095-4918,2168-8656,3,3,3
JOURNAL OF PRODUCT AND BRAND MANAGEMENT,MKG,1061-0421,2054-1643,3,4,4
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,INNOV,0737-6782,1540-5885,1,1,1
JOURNAL OF PRODUCTIVITY ANALYSIS,GEN MAN,0895-562X,1573-0441,,4,3
JOURNAL OF PROFESSIONS AND ORGANIZATION,HRM,2051-8803,2051-8811,,4,4
JOURNAL OF PSYCHOLOGY: INTERDISCIPLINARY AND APPLIED,HRM,1940-1019,1940-1019,,4,4
JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY,PUB MAN,1053-1858,1477-9803,2,2,2
"JOURNAL OF PUBLIC BUDGETING, ACCOUNTING & FINANCIAL MANAGEMENT",ACC,1096-3367,1945-1814,,,4
JOURNAL OF PUBLIC ECONOMICS,PUB MAN,0047-2727,0047-2727,,1,1
JOURNAL OF PUBLIC POLICY,PUB MAN,0143-814X,1469-7815​,,,4
JOURNAL OF PUBLIC POLICY AND MARKETING,MKG,0743-9156,1547-7207,2,2,2
JOURNAL OF PUBLIC PROCUREMENT,LOG,1535-0118,2150-6930,,,4
JOURNAL OF PURCHASING AND SUPPLY MANAGEMENT,LOG,1478-4092,1873-6505,3,3,2
JOURNAL OF QUALITY TECHNOLOGY,INNOV,0022-4065,2575-6230,3,3,3
JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,FIN,0895-5638,1573-045X,3,3,3
JOURNAL OF RETAILING,MKG,0022-4359,1873-3271,1,1,1
JOURNAL OF RETAILING AND CONSUMER SERVICES,MKG,0969-6989,1873-1384,3,3,3
JOURNAL OF REVENUE AND PRICING MANAGEMENT,GEN MAN,1476-6930,1477-657X,,4,4
JOURNAL OF RISK,FIN,1465-1211,1755-2842,,4,4
JOURNAL OF RISK AND INSURANCE,FIN,0022-4367,1539-6975,2,2,2
JOURNAL OF RISK AND UNCERTAINTY,FIN,0895-5646,1573-0476,2,2,2
JOURNAL OF RISK FINANCE,FIN,1526-5943,2331-2947,,,4
JOURNAL OF SERVICE MANAGEMENT,GEN MAN,1757-5818,1757-5826,3,3,3
JOURNAL OF SERVICE RESEARCH,MKG,1094-6705,1552-7379,1,1,1
JOURNAL OF SERVICE THEORY AND PRACTICE (FORMERLY: MANAGING SERVICE QUALITY: AN INTERNATIONAL JOURNAL),LOG,2055-6225,2055-6225,,4,4
JOURNAL OF SERVICES MARKETING,MKG,0887-6045,0887-6045,3,3,3
JOURNAL OF SMALL BUSINESS AND ENTERPRISE DEVELOPMENT,INNOV,1462-6004,1758-7840,4,4,4
JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP,INNOV,0827-6331,2169-2610,4,4,4
JOURNAL OF SMALL BUSINESS MANAGEMENT,INNOV,0047-2778,1540-627X,2,2,2
JOURNAL OF SOCIAL ENTREPRENEURSHIP,INNOV,1942-0676,1942-0684,,,4
JOURNAL OF SPORT MANAGEMENT,SECTOR,0888-4773,1543-270X,,4,4
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,MIS,0963-8687,1873-1198,2,2,1
JOURNAL OF STRATEGIC MARKETING,MKG,0965-254X,1466-4488,4,4,4
JOURNAL OF STRATEGY AND MANAGEMENT,STRAT,1755-425X,1755-4268,,,4
JOURNAL OF SUPPLY CHAIN MANAGEMENT,LOG,1523-2409,1745-493X,2,2,1
JOURNAL OF SUSTAINABLE TOURISM,SECTOR,0966-9582,1747-7646,3,3,3
JOURNAL OF SYSTEMS AND INFORMATION TECHNOLOGY,MIS,1328-7265,1758-8847,,,4
JOURNAL OF SYSTEMS AND SOFTWARE,MIS,0164-1212,1873-1228,,,4
JOURNAL OF TECHNOLOGY TRANSFER,INNOV,0892-9912,1573-7047,3,3,2
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,MKG,0092-0703,1552-7824,1,1,1
JOURNAL OF THE ASSOCIATION FOR CONSUMER RESEARCH,MKG,2378-1815,2378-1823,,,4
JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY (JASIST),MIS,2330-1635,2330-1643,,,4
JOURNAL OF THE ASSOCIATION FOR INFORMATION SYSTEMS,MIS,1536-9323,1558-3457,2,1,1
JOURNAL OF THE ASSOCIATION OF ENVIRONMENTAL AND RESOURCE ECONOMISTS,BUS SOC,2333-5955,2333-5963,,,3
JOURNAL OF THE KNOWLEDGE ECONOMY,INNOV,1868-7865,1868-7873,,,4
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,GEN MAN,0160-5682,1476-9360,2,2,2
JOURNAL OF TRANSPORT ECONOMICS AND POLICY,SECTOR,0022-5258,1754-5951,,4,4
JOURNAL OF TRANSPORT GEOGRAPHY,SECTOR,0966-6923,1873-1236,,4,3
JOURNAL OF TRAVEL & TOURISM MARKETING,SECTOR,1054-8408,1540-7306,3,3,3
JOURNAL OF TRAVEL RESEARCH,SECTOR,0047-2875,1552-6763,2,2,2
JOURNAL OF VOCATIONAL BEHAVIOR,HRM,0001-8791,1095-9084,2,2,1
JOURNAL OF WORKPLACE LEARNING,EDUC,1366-5626,1758-7859,,,4
JOURNAL OF WORLD BUSINESS,INT,1090-9516,1878-5573,2,1,1
JUDGMENT AND DECISION MAKING,MKG,1930-2975,1930-2975,,3,3
KNOWLEDGE AND PROCESS MANAGEMENT,ORG STUD,1099-1441,1099-1441,4,4,4
KNOWLEDGE MANAGEMENT RESEARCH & PRACTICE,MIS,1477-8238,1477-8246,3,3,3
KNOWLEDGE-BASED SYSTEMS,MIS,0950-7051,1872-7409,,,4
KYBERNETES,GEN MAN,0368-492X,1758-7883,,,4
KYKLOS,BUS SOC,0023-5962,1467-6435,,3,3
LA REVUE DES SCIENCES DE GESTION,GEN MAN,1160-7742,1760-6136,4,4,4
LABOR HISTORY,BUS HIST,0023-656X,1469-9702,4,4,4
LABOUR ECONOMICS,HRM,0927-5371,1879-1034,,2,2
LAND ECONOMICS,SECTOR,0023-7639,1543-8325,,3,3
LEADERSHIP,ORG STUD,1742-7150,1742-7169,4,4,4
LEADERSHIP AND ORGANIZATION DEVELOPMENT JOURNAL,ORG STUD,0143-7739,1472-5347,4,4,4
LEADERSHIP QUARTERLY,HRM,1048-9843,1873-3409,1,1,1
LEISURE STUDIES,SECTOR,0261-4367,1466-4496,,4,4
LOCAL ECONOMY,SECTOR,0269-0942,1470-9325,4,4,4
LOCAL GOVERNMENT STUDIES,PUB MAN,0300-3930,1743-9388,3,3,3
LOGISTIQUE ET MANAGEMENT,LOG,1250-7970,2377-9640,3,2,3
LONG RANGE PLANNING,STRAT,0024-6301,1873-1872,2,2,1
M@N@GEMENT,STRAT,,1286-4692,2,2,2
MANAGEMENT & AVENIR,GEN MAN,1768-5958,1969-6574,3,3,4
MANAGEMENT & PROSPECTIVE (GESTION 2000),GEN MAN,0773-0543,2406-4734,4,3,3
MANAGEMENT ACCOUNTING RESEARCH,ACC,1044-5005,1096-1224,1,1,2
MANAGEMENT AND ORGANIZATION REVIEW,ORG STUD,1740-8776,1740-8784,3,3,3
MANAGEMENT AND ORGANIZATIONAL HISTORY,BUS HIST,1744-9359,1744-9367,4,4,4
MANAGEMENT AND PRODUCTION ENGINEERING REVIEW,LOG,2080-8208,2082-1344,,,4
MANAGEMENT COMMUNICATION QUARTERLY,ORG STUD,0893-3189,1552-6798,3,4,4
MANAGEMENT DECISION,GEN MAN,0025-1747,1758-6070,3,4,3
MANAGEMENT ET SCIENCES SOCIALES,GEN MAN,1952-3262,2102-6572,4,4,4
MANAGEMENT INTERNATIONAL,INT,1206-1697,1918-9222,2,2,2
MANAGEMENT INTERNATIONAL REVIEW,INT,0938-8249,1861-8901,3,3,3
MANAGEMENT LEARNING,EDUC,1350-5076,1461-7307,2,2,2
MANAGEMENT RESEARCH REVIEW,GEN MAN,2040-8269,2040-8277,,4,4
MANAGEMENT RESEARCH: THE JOURNAL OF THE IBEROAMERICAN ACADEMY OF MANAGEMENT,GEN MAN,1536-5433,1558-0946,,,4
MANAGEMENT REVIEW QUARTERLY,GEN MAN,2198-1620,2198-1639​,,,4
MANAGEMENT REVUE,GEN MAN,0935-9915,1861-9908,,,4
MANAGEMENT SCIENCE,GEN MAN,0025-1909,1526-5501,1*,1*,1*
MANAGERIAL AND DECISION ECONOMICS,GEN MAN,0143-6570,1099-1468,,3,3
MANAGERIAL AUDITING JOURNAL,ACC,0268-6902,1758-7735,3,3,3
MANAGERIAL FINANCE,FIN,0307-4358,1758-7743,4,4,4
MANAGING SPORT AND LEISURE,SECTOR,2375-0472,2375-0480,,,4
MANUFACTURING AND SERVICE OPERATIONS MANAGEMENT,LOG,1523-4614,1526-5498,1,1,1
MARINE POLICY,SECTOR,0308-597X,1872-9460,,4,4
MARINE RESOURCE ECONOMICS,SECTOR,0738-1360,2334-5985,,4,4
MARKETING EDUCATION REVIEW,EDUC,1052-8008,2153-9987,,,4
MARKETING LETTERS,MKG,0923-0645,1573-059X,2,2,2
MARKETING SCIENCE,MKG,0732-2399,1526-548X,1,1*,1*
MARKETING THEORY,MKG,1470-5931,1741-301X,3,3,3
MATHEMATICAL FINANCE,FIN,0960-1627,1467-9965,2,2,2
MEASURING BUSINESS EXCELLENCE,GEN MAN,1368-3047,1758-8057,,4,4
MEDICAL CARE,HLTH,0025-7079,1537-1948,2,2,3
MEDICAL CARE RESEARCH AND REVIEW,HLTH,1077-5587,1552-6801,3,4,4
MEDICAL DECISION MAKING,HLTH,0272-989X,1552-681X,3,3,3
MIS QUARTERLY,MIS,0276-7783,2162-9730,1*,1*,1*
MIS QUARTERLY EXECUTIVE,MIS,1540-1960,1540-1979,3,3,3
MIT SLOAN MANAGEMENT REVIEW,GEN MAN,1532-9194,1532-9194,2,2,2
MULTINATIONAL BUSINESS REVIEW,INT,1525-383X,2054-1686,4,4,3
NÉGOCIATIONS,GEN MAN,1780-9231,1782-1452,NC,4,4
NEGOTIATION JOURNAL,GEN MAN,0748-4526,1571-9979,,4,4
"NEW TECHNOLOGY, WORK AND EMPLOYMENT",HRM,0268-1072,1468-005X,,3,2
NONPROFIT AND VOLUNTARY SECTOR QUARTERLY,SECTOR,0899-7640,1552-7395,,2,2
NONPROFIT MANAGEMENT AND LEADERSHIP,SECTOR,1048-6682,1542-7854,,4,4
NORTH AMERICAN ACTUARIAL JOURNAL,FIN,1092-0277,2325-0453,3,3,3
OMEGA: THE INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,GEN MAN,0305-0483,1873-5274,,3,2
ONLINE INFORMATION REVIEW,MIS,1468-4527,1468-4535,,,4
OPERATIONS RESEARCH,GEN MAN,0030-364X,1526-5463,1,1*,1*
ORGANIZATION,ORG STUD,1350-5084,1461-7323,2,2,2
ORGANIZATION AND ENVIRONMENT,ORG STUD,1086-0266,1552-7417,3,3,2
ORGANIZATION SCIENCE,ORG STUD,1047-7039,1526-5455,1,1*,1*
ORGANIZATION STUDIES,ORG STUD,0170-8406,1741-3044,1,1,1
ORGANIZATION THEORY,ORG STUD,2631-7877,2631-7877,,4,4
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,HRM,0749-5978,1095-9920,1,1,1
ORGANIZATIONAL DYNAMICS,ORG STUD,0090-2616,1873-3530,2,2,2
ORGANIZATIONAL PSYCHOLOGY REVIEW,ORG STUD,2041-3866,2041-3874,4,4,3
ORGANIZATIONAL RESEARCH METHODS,ORG STUD,1094-4281,1552-7425,1,1,1
PACIFIC ASIA JOURNAL OF THE ASSOCIATION FOR INFORMATION SYSTEMS,MIS,1943-7536,1943-7544,,,4
PACIFIC BASIN FINANCE JOURNAL,FIN,0927-538X,1879-0585,3,3,3
PAPERS IN REGIONAL SCIENCE,SECTOR,1056-8190,1435-5957,,3,3
PAST AND PRESENT,BUS HIST,0031-2746,1477-464X,,,4
PERSONNEL PSYCHOLOGY,HRM,0031-5826,1744-6570,1,1,1*
PERSONNEL REVIEW,HRM,0048-3486,1758-6933,3,3,3
PERSPECTIVES ON PUBLIC MANAGEMENT AND GOVERNANCE,PUB MAN,2398-4910,2398-4929,,,4
PHILOSOPHY OF MANAGEMENT,GEN MAN,1740-3812,2052-9597,,4,4
POLICY AND POLITICS,PUB MAN,0305-5736,1470-8442,3,3,3
POLITIQUES ET MANAGEMENT PUBLIC,PUB MAN,0758-1726,2119-4831,4,3,4
PRODUCTION AND INVENTORY MANAGEMENT JOURNAL,LOG,0897-8336,0897-8336,4,4,4
PRODUCTION AND OPERATIONS MANAGEMENT,LOG,1059-1478,1937-5956,1,1,1
PRODUCTION PLANNING AND CONTROL,LOG,0953-7287,1366-5871,2,2,2
PROJECT MANAGEMENT JOURNAL,LOG,1938-9507,8756-9728,,4,4
PROJECTICS,GEN MAN,2031-9703,2032-0043,,,EM
PSYCHOLOGICAL SCIENCE,MKG,0956-7976,1467-9280,,,2
PSYCHOLOGY AND MARKETING,MKG,0742-6046,1520-6793,2,2,2
PUBLIC ADMINISTRATION AND DEVELOPMENT,PUB MAN,0271-2075,1099-162X,3,3,3
PUBLIC ADMINISTRATION QUARTERLY,PUB MAN,0734-9149,2327-4433,,,4
PUBLIC ADMINISTRATION REVIEW,PUB MAN,0033-3352,1540-6210,1,1,1
PUBLIC ADMINISTRATION: AN INTERNATIONAL QUARTERLY,PUB MAN,0033-3298,1467-9299,3,2,2
PUBLIC HEALTH,HLTH,0033-3506,1476-5616,4,4,4
PUBLIC MANAGEMENT REVIEW,PUB MAN,1471-9037,1471-9045,3,3,2
PUBLIC MONEY AND MANAGEMENT,PUB MAN,0954-0962,1467-9302,3,3,3
PUBLIC ORGANIZATION REVIEW,PUB MAN,1566-7170,1573-7098,4,4,4
PUBLIC PERFORMANCE AND MANAGEMENT REVIEW,PUB MAN,1530-9576,1557-9271,,,4
PUBLIC PERSONNEL MANAGEMENT,PUB MAN,0091-0260,0091-0260,,,4
PUBLIC POLICY AND ADMINISTRATION,PUB MAN,0952-0767,1749-4192,,,4
PUBLIC RELATIONS REVIEW,PUB MAN,0363-8111,1873-4537,,,4
QUALITATIVE MARKET RESEARCH,MKG,1352-2752,1758-7646,4,4,4
QUALITATIVE RESEARCH,BUS SOC,1468-7941,1741-3109,4,4,4
QUALITATIVE RESEARCH IN ACCOUNTING AND MANAGEMENT,ACC,1176-6093,1758-7654,,4,3
QUALITATIVE RESEARCH IN ORGANIZATIONS AND MANAGEMENT,ORG STUD,1746-5648,1746-5656,,,4
QUALITY AND QUANTITY,GEN MAN,1573-7845,1573-7845,,,4
QUALITY OF LIFE RESEARCH,HLTH,0962-9343,1573-2649,3,3,3
QUANTITATIVE FINANCE,FIN,1469-7688,1469-7696,3,3,3
QUANTITATIVE MARKETING AND ECONOMICS,MKG,1570-7156,1573-711X,2,2,2
QUARTERLY JOURNAL OF FINANCE,FIN,2010-1406,2010-1406,,,4
QUESTION(S) DE MANAGEMENT,GEN MAN,2262-7030,2271-2127,4,4,4
R&D MANAGEMENT,INNOV,0033-6807,1467-9310,2,2,2
RAND JOURNAL OF ECONOMICS,GEN MAN,0741-6261,1756-2171,,1,1
REAL ESTATE ECONOMICS,FIN,1080-8620,1540-6229,3,3,3
RECHERCHE ET APPLICATIONS EN MARKETING,MKG,0767-3701,2051-2821,2,2,2
RECHERCHE ET CAS EN SCIENCES DE GESTION,GEN MAN,2646-6546,2678-0631,4,4,4
RECHERCHES EN SCIENCES DE GESTION - MANAGEMENT SCIENCES - CIENCIAS DE GESTION,GEN MAN,2259-6372,2271-2836,3,3,3
REGIONAL SCIENCE AND URBAN ECONOMICS,SECTOR,0166-0462,1879-2308,,3,3
REGIONAL STUDIES,SECTOR,0034-3404,1360-0591,,2,2
RELATIONS INDUSTRIELLES,HRM,0034-379X,1703-8138,3,2,3
REQUIREMENTS ENGINEERING,MIS,0947-3602,1432-010X,,,4
RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,FIN,0275-5319,1878-3384,4,3,3
RESEARCH IN ORGANIZATIONAL BEHAVIOR,ORG STUD,0191-3085,0191-3085,2,2,2
RESEARCH IN TRANSPORTATION BUSINESS AND MANAGEMENT,SECTOR,2210-5395,2210-5409,,,4
RESEARCH POLICY,INNOV,0048-7333,1873-7625,1,1*,1*
RESEARCH-TECHNOLOGY MANAGEMENT,GEN MAN,0895-6308,1930-0166,,3,3
RESOURCE AND ENERGY ECONOMICS,SECTOR,0928-7655,1873-0221,,3,3
RESOURCES POLICY,SECTOR,0301-4207,1873-7641,,,4
REVIEW OF ACCOUNTING AND FINANCE,ACC,1475-7702,1758-7700,4,4,4
REVIEW OF ACCOUNTING STUDIES,ACC,1380-6653,1573-7136,1,1,1
REVIEW OF ASSET PRICING STUDIES,FIN,2045-9939,2045-9939,4,4,3
REVIEW OF CORPORATE FINANCE STUDIES,FIN,2046-9136,2046-9136,3,3,2
REVIEW OF DERIVATIVES RESEARCH,FIN,1380-6645,1573-7144,3,3,3
REVIEW OF FINANCE,FIN,1572-3097,1573-692X,1,1,1
REVIEW OF FINANCIAL ECONOMICS,FIN,1058-3300,1873-5924,4,4,4
REVIEW OF FINANCIAL STUDIES,FIN,0893-9454,1465-7368,1,1*,1*
REVIEW OF INDUSTRIAL ORGANIZATION,ORG STUD,0889-938X,1573-7160,3,3,3
REVIEW OF MANAGERIAL SCIENCE,GEN MAN,1863-6683,1863-6691,,4,3
REVIEW OF PUBLIC PERSONNEL ADMINISTRATION,PUB MAN,0734-371X,1552-759X,4,4,4
REVIEW OF QUANTITATIVE FINANCE AND ACCOUNTING,FIN,0924-865X,1573-7179,3,3,3
REVUE AFRICAINE DE MANAGEMENT PUBLIC (RAMAP),PUB MAN,2801-9083,,,,EM
REVUE CANADIENNE DES SCIENCES DE L'ADMINISTRATION (CJAS),GEN MAN,0825-0383,1936-4490,3,3,2
REVUE DE GESTION DES RESSOURCES HUMAINES (RGRH),HRM,1163-913X,2271-2186,2,2,2
REVUE DE L'ENTREPRENEURIAT,INNOV,1766-2524,1630-7542,2,2,2
REVUE DE L'ORGANISATION RESPONSABLE (ROR),BUS SOC,1951-0187,2105-3022,4,3,2
REVUE D'ECONOMIE FINANCIÈRE,FIN,0987-3368,1777-5744,4,4,4
REVUE D'ECONOMIE INDUSTRIELLE,STRAT,0154-3229,1773-0198,,,4
REVUE EUROPÉENNE D'ÉCONOMIE ET MANAGEMENT DES SERVICES,GEN MAN,2497-0107,,EM,EM,4
REVUE FRANÇAISE DE GESTION,GEN MAN,0338-4551,1777-5663,2,2,2
REVUE FRANÇAISE DE GESTION INDUSTRIELLE,LOG,0242-9780,,,EM,EM
"REVUE INTERDISCIPLINAIRE, MANAGEMENT, HOMME & ENTREPRISE (RIMHE)",GEN MAN,2259-2490,2260-5584,3,3,4
REVUE INTERNATIONALE DE PSYCHOSOCIOLOGIE ET DE GESTION DES COMPORTEMENTS ORGANISATIONNELS (RIPCO),HRM,1260-1705,2430-3275,4,3,4
REVUE INTERNATIONALE DES SCIENCES DE L'ORGANISATION (RISO),GEN MAN,,2551-3583,EM,EM,4
REVUE INTERNATIONALE PME (RIPME),INNOV,0776-5436,1918-9699,3,2,2
REVUE MANAGEMENT & AVENIR - SANTÉ ET ENVIRONNEMENT,HLTH,,2426-5551,,EM,EM
SAFETY SCIENCE,SECTOR,0925-7535,1879-1042,,,3
SCANDINAVIAN JOURNAL OF INFORMATION SYSTEMS,MIS,19010990,9050167,,,4
SCANDINAVIAN JOURNAL OF MANAGEMENT,GEN MAN,0956-5221,1873-3387,3,3,3
SCHMALENBACH JOURNAL OF BUSINESS RESEARCH,GEN MAN,1439-2917,2194-072X,,4,4
SCIENCE TECHNOLOGY AND HUMAN VALUES,INNOV,0162-2439,1552-8251,,,3
SCIENTOMETRICS,INNOV,0138-9130,1588-2861,,,3
SERVICE INDUSTRIES JOURNAL,SECTOR,0264-2069,1743-9507,,4,3
SIAM JOURNAL ON FINANCIAL MATHEMATICS,FIN,1945-497X,1945-497X,,4,4
SMALL BUSINESS ECONOMICS,INNOV,0921-898X,1573-0913,2,2,2
SMALL ENTERPRISE RESEARCH,INNOV,1175-0979,1321-5906,,,4
SMALL GROUP RESEARCH,ORG STUD,1046-4964,1552-8278,,4,3
SOCIAL AND ENVIRONMENTAL ACCOUNTABILITY JOURNAL,ACC,0969-160X,2156-2245,,,4
SOCIAL BUSINESS,BUS SOC,2044-4087,2044-9860,,4,4
SOCIAL ENTERPRISE JOURNAL,INNOV,1750-8533,1750-8614,,,4
SOCIAL FORCES,BUS SOC,0037-7732,1534-7605,,3,3
SOCIAL MARKETING QUARTERLY,MKG,1524-5004,1539-4093,,,4
SOCIAL NETWORKS,BUS SOC,0378-8733,1879-2111,,4,4
SOCIAL RESPONSIBILITY JOURNAL,BUS SOC,1747-1117,1758-857X,,,4
SOCIAL SCIENCE AND MEDICINE,HLTH,0277-9536,1873-5347,2,2,1
SOCIAL STUDIES OF SCIENCE,INNOV,0306-3127,1460-3659,,,4
SOCIETY AND BUSINESS REVIEW,BUS SOC,1746-5680,1746-5699,4,4,4
SOCIO-ECONOMIC PLANNING SCIENCES: THE INTERNATIONAL JOURNAL OF PUBLIC SECTOR DECISION-MAKING,PUB MAN,0038-0121,1873-6041,,4,4
SOCIO-ECONOMIC REVIEW,HRM,1475-1461,1475-147X,,2,2
SOCIOLOGICAL METHODS & RESEARCH,GEN MAN,0049-1241,1552-8294,3,4,4
SOCIOLOGY,BUS SOC,0038-0385,1469-8684,,2,2
SPORT MANAGEMENT REVIEW,SECTOR,1441-3523,1839-2083,,4,3
SPORT MARKETING QUARTERLY,MKG,1061-6934,1557-2528,,4,4
"SPORT, BUSINESS AND MANAGEMENT: AN INTERNATIONAL JOURNAL",SECTOR,2042-678X,2042-6798,,,4
STRATEGIC CHANGE,STRAT,1086-1718,1099-1697,,4,4
STRATEGIC ENTREPRENEURSHIP JOURNAL,INNOV,1932-4391,1932-443X,1,1,1
STRATEGIC MANAGEMENT JOURNAL,STRAT,0143-2095,1097-0266,1*,1*,1*
STRATEGIC ORGANIZATION,STRAT,1476-1270,1741-315X,2,2,1
STUDIES IN HIGHER EDUCATION,EDUC,0307-5079,1470-174X,,,3
SUPPLY CHAIN FORUM : AN INTERNATIONAL JOURNAL,LOG,1625-8312,1624-6039,3,3,3
SUPPLY CHAIN MANAGEMENT: AN INTERNATIONAL JOURNAL,LOG,1359-8546,1758-6852,2,2,2
"SUSTAINABILITY ACCOUNTING, MANAGEMENT AND POLICY JOURNAL",ACC,2040-8021,2040-803X,3,3,3
SUSTAINABLE DEVELOPMENT,BUS SOC,0968-0802,1099-1719,,,4
SYSTÈMES AGROALIMENTAIRES / FOOD SYSTEMS,SECTOR,2555-4670,2555-0411,4,4,4
SYSTÈMES D'INFORMATION ET MANAGEMENT (SIM),MIS,1260-4984,2271-7188,2,2,2
SYSTEMS RESEARCH AND BEHAVIORAL SCIENCES,GEN MAN,0160-791X,1099-1743,,,4
TEACHING IN HIGHER EDUCATION,EDUC,1356-2517,1470-1294,,,4
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,INNOV,0040-1625,1873-5509,2,2,2
TECHNOLOGY ANALYSIS AND STRATEGIC MANAGEMENT,STRAT,0953-7325,1465-3990,3,3,3
TECHNOLOGY IN SOCIETY,MIS,0160-791X,1879-3274,,,4
TECHNOVATION,INNOV,0166-4972,1879-2383,2,2,2
TELECOMMUNICATIONS POLICY,SECTOR,0308-5961,1879-3258,,4,4
TELEVISION AND NEW MEDIA,SECTOR,1527-4764,1552-8316,,,4
THE DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,MIS,0095-0033,1532-0936,,,3
THE EUROPEAN JOURNAL OF FINANCE,FIN,1351-847X,1466-4364,3,3,3
THE GENEVA RISK AND INSURANCE REVIEW,FIN,1554-964X,1554-9658,3,3,3
THE INFORMATION SOCIETY,MIS,0197-2243,1087-6537,,,3
THE INTERNATIONAL JOURNAL OF ACCOUNTING,ACC,1094-4060,2213-3933,3,3,3
THE INTERNATIONAL JOURNAL OF LOGISTICS MANAGEMENT,LOG,0957-4093,1758-6550,3,3,3
THE JOURNAL OF APPLIED BEHAVIORAL SCIENCE,GEN MAN,0021-8863,1552-6879,3,3,3
THE JOURNAL OF ENTREPRENEURSHIP,INNOV,0971-3557,0973-0745,4,4,4
THE LEARNING ORGANIZATION,ORG STUD,0969-6474,1758-7905,4,4,4
THE MILBANK QUARTERLY,HLTH,0887-378X,1468-0009,2,2,3
THE QUARTERLY REVIEW OF ECONOMICS AND FINANCE,FIN,1062-9769,1878-4259,4,4,3
"THEORY, CULTURE AND SOCIETY",BUS SOC,0263-2764,1460-3616,,3,3
THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,INT,1096-4762,1520-6874,4,4,3
TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE,LOG,1478-3363,1478-3371,,4,4
TOURISM ANALYSIS,SECTOR,1083-5423,1943-3999,,4,4
TOURISM ECONOMICS,SECTOR,1354-8166,2044-0375,,4,4
